,,,,Scale,,
,0.4,0.20,uW,47uW,,
,8.0,0.59,uW,47uW,,
,16.0,0.60,uW,47uW,,
,24.0,0.80,uW,47uW,,
,32.0,1.01,uW,47uW,,
,40.0,1.39,uW,47uW,,
,48.0,2.00,uW,47uW,,
,56.0,2.99,uW,47uW,,
,64.0,212.2,uW,490uW,,
,72.0,341.5,uW,490uW,,
,80.0,478.9,uW,490uW,,
,88.0,0.614,mW,5 mW,,
,96.0,0.75,mW,5 mW,,
,104.0,0.884,mW,5 mW,,
,112.0,1.023,mW,5 mW,,
,120.0,1.16,mW,5 mW,,
,128.0,1.3,mW,5 mW,,
,136.0,1.437,mW,5 mW,,
,144.0,1.576,mW,5 mW,,
,152.0,1.716,mW,5 mW,,
,160.0,1.853,mW,5 mW,,
,168.0,1.996,mW,5 mW,,
,176.0,2.139,mW,5 mW,,
,184.0,2.282,mW,5 mW,,
,192.0,2.423,mW,5 mW,,
,200.0,2.564,mW,5 mW,,
,57.0,52.7,uW,490uW,,
,58.0,98.0,uW,490uW,,
,59.0,122.0,uW,490uW,,
,60.0,141.5,uW,490uW,,
,61.0,160.1,uW,490uW,,
,62.0,177.8,uW,490uW,,
,63.0,194.7,uW,490uW,,
,56.5,4.1,uW,490uW,,
,56.6,5.1,uW,490uW,,
,56.7,8,uW,490uW,,
,56.8,8.4,uW,490uW,,
,56.9,43.3,uW,490uW,,
,,,,,,
,,,,,,
,,,,,,
